channel,depth_m,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1330,501.7,1.5315,1.6572,1.6072,1.4856,1.4654,1.4487,1.6380,1.8223,1.5776,1.4756,1.6479,2.1312,1.9030,1.8636,1.7165,1.8359,1.7321,1.5863,1.6856,1.8198,1.5327,1.4032,1.6168,1.5738
1331,505.8,1.5045,1.5705,1.5737,1.5310,1.5088,1.4859,1.5372,1.5872,1.5036,1.4195,1.4887,2.1114,1.5324,1.5016,1.5533,1.7278,1.6393,1.4672,1.5637,1.7473,1.4785,1.3794,1.4813,1.4174
1332,509.9,1.3745,1.5009,1.4337,1.4799,1.4631,1.4314,1.4331,1.5840,1.4749,1.3788,1.4556,1.8903,1.4923,1.5032,1.5703,1.6573,1.5924,1.4716,1.5683,1.5961,1.3977,1.3114,1.4376,1.3949
1333,514.1,1.2749,1.3580,1.3898,1.4178,1.3493,1.2881,1.3246,1.3471,1.2661,1.2531,1.2971,1.8282,1.3058,1.3124,1.3650,1.4820,1.4425,1.2539,1.3608,1.4958,1.2864,1.2182,1.2832,1.2173
1334,518.2,1.8124,1.7949,1.6761,1.6795,1.6254,1.5638,1.5911,1.6970,1.7128,1.6404,1.6485,2.1588,1.6807,1.6673,1.7003,1.8679,1.8603,1.5470,1.7459,1.9276,1.6557,1.5674,1.6411,1.6366
1335,522.3,1.9181,2.0230,1.8759,1.8065,1.7899,1.7221,1.8259,1.9730,1.9262,1.8114,1.8614,2.6867,1.8764,1.8577,1.9355,2.1962,2.1624,1.8075,1.9767,2.2605,1.8266,1.7140,1.8447,1.7607
1336,526.4,2.1217,2.2402,2.0074,2.0478,2.0720,1.9663,1.9454,2.1041,2.1125,1.9661,1.9934,2.8196,1.9730,1.9622,2.0403,2.3034,2.2828,1.8589,2.0512,2.4073,1.9528,1.8413,1.9522,1.8707
1337,530.5,2.2038,2.2831,2.0195,1.9297,1.9792,1.8878,1.9286,2.1369,2.1813,2.1668,2.1829,2.8056,2.1779,2.2315,2.1724,2.3251,2.3063,2.0698,2.0896,2.4433,2.1130,2.0506,2.1342,2.0789
1338,534.6,1.4562,1.4520,1.4022,1.4767,1.5099,1.4795,1.3786,1.4031,1.4764,1.3670,1.3856,1.9443,1.4486,1.4341,1.4068,1.5581,1.5332,1.3371,1.3884,1.5803,1.3516,1.2996,1.3896,1.3552
1339,538.7,1.0848,1.1397,1.1096,1.1402,1.2683,1.2145,1.0478,1.1125,1.1329,1.0636,1.0586,1.4724,1.0384,1.0301,1.0862,1.2167,1.1733,0.9872,1.0725,1.2427,1.0964,1.0162,1.0703,1.0163
1340,542.8,1.1084,1.1845,1.1424,1.0103,1.1051,1.0320,1.0605,1.1260,1.1367,1.0788,1.0305,1.3537,1.0232,1.0937,1.0983,1.1818,1.2077,1.0802,1.1270,1.1690,1.1102,0.9982,1.0234,1.0030
1341,547.0,1.0435,1.0540,1.0503,1.2117,1.3844,1.3510,0.9917,1.0964,1.0830,1.0582,1.0414,1.3147,1.0419,0.9848,1.0585,1.1426,1.1288,0.9836,1.0544,1.1465,1.0294,1.0248,1.0246,1.0080
1342,551.1,1.0825,1.1027,1.1090,1.0170,1.1235,1.0223,1.0588,1.1326,1.1215,1.0772,1.0721,1.2850,1.0698,1.0599,1.1383,1.2115,1.1612,1.0373,1.1315,1.1839,1.1078,1.0572,1.0628,1.0499
1343,555.2,1.1405,1.1503,1.1999,1.1821,1.0871,1.1232,1.2353,1.1787,1.1587,1.0637,1.0961,1.3041,1.2304,1.2173,1.1909,1.2186,1.2056,1.1090,1.1606,1.2021,1.0990,1.0187,1.1073,1.1378
1344,559.3,1.1963,1.2097,1.1250,1.0471,1.0879,1.0060,1.1046,1.2326,1.2039,1.1700,1.1738,1.3240,1.1579,1.1760,1.2258,1.2729,1.2630,1.2146,1.2544,1.2608,1.1290,1.1211,1.1453,1.1310
1345,563.4,0.9946,1.0217,1.0912,1.0051,0.9653,0.9495,1.0682,1.0958,1.0309,0.9866,1.0086,1.1866,1.0591,1.0564,1.0218,1.0644,1.0342,0.9575,0.9856,1.0415,0.9746,0.9313,0.9942,0.9520
1346,567.5,1.0957,1.0473,0.9516,0.9020,0.8589,0.8403,0.9619,1.0335,1.0188,0.9436,0.9779,1.1472,1.0424,1.0181,1.0272,1.0451,1.0618,1.0186,0.9990,1.0029,0.9365,0.8984,0.9352,0.9519
1347,571.6,1.2238,1.1742,1.0535,1.0051,1.2765,1.0956,1.0573,1.1410,1.1662,1.1095,1.1633,1.1666,1.0964,1.1428,1.1911,1.1566,1.1558,1.1590,1.1974,1.1384,1.1321,1.1132,1.1337,1.1422
1348,575.7,1.0173,1.0562,1.1299,1.0731,1.1106,1.0875,1.0666,1.0783,1.0843,1.0442,1.0736,1.2051,1.1578,1.1382,1.1954,1.1980,1.1238,1.1805,1.2225,1.0729,0.9598,0.9539,1.0180,1.0340
1349,579.9,1.0414,1.0739,1.1690,1.1990,1.0834,1.0654,1.1070,1.0751,1.0423,1.1077,1.1153,1.2021,1.0770,1.0813,1.1791,1.3682,1.2004,1.1603,1.2014,1.1386,0.9991,1.0933,1.1094,1.0281
1350,584.0,1.0538,1.1218,1.0166,0.9193,0.9864,0.8957,0.9852,1.1137,1.1114,1.2160,1.1400,1.0871,1.0728,1.0558,1.0878,1.0614,1.0594,1.1131,1.0463,1.0765,1.1138,1.2481,1.0851,1.0282
1351,588.1,0.8551,0.9155,1.0633,0.9320,0.9991,0.9052,0.9855,0.9155,0.8996,0.9390,0.9621,1.0735,1.0716,1.0836,0.9802,0.9686,0.9437,0.9308,0.9161,0.9441,0.9035,0.8826,0.8944,0.8589
1352,592.2,1.2422,1.2738,0.9732,0.9409,0.9446,0.8986,0.9352,1.1983,1.2003,1.2306,1.3041,1.1861,1.0653,1.1755,1.3612,1.3712,1.1569,1.1135,1.4632,1.3022,1.4218,1.3791,1.4298,1.3117
1353,596.3,0.9687,1.0327,1.0119,1.0029,1.0428,0.9851,1.1316,1.1620,1.0295,0.9956,1.0476,1.2854,0.9505,0.9852,1.1181,1.2587,1.1381,1.1838,1.2405,1.2585,1.2570,0.9323,1.1177,1.0139
1354,600.4,1.0872,1.1567,1.0533,1.0801,1.0946,1.0787,1.0533,1.2201,1.1520,1.1314,1.1261,1.2801,1.1594,1.1202,1.1519,1.1777,1.1104,1.1437,1.1382,1.1657,1.1646,1.0396,1.1211,1.0800
1355,604.5,1.2769,1.2902,1.1298,1.1391,1.1493,1.1594,1.1248,1.2548,1.4581,1.4404,1.2370,1.2765,1.2663,1.2283,1.2121,1.2756,1.3067,1.2614,1.3064,1.3280,1.4240,1.2791,1.2620,1.2119
1356,608.6,1.0674,1.0498,0.9564,0.9615,1.2149,1.0985,1.0306,1.0728,1.0126,0.9548,1.0298,1.1473,1.1201,1.1458,1.1876,1.1311,1.1240,1.2468,1.1893,1.0638,0.9589,0.9939,1.1281,1.0459
1357,612.8,1.0158,0.9775,0.9817,1.0299,0.9442,0.9639,1.0398,0.9521,0.9424,0.8810,0.9348,1.0741,0.9141,0.9284,1.0149,1.0518,0.9985,0.9887,1.0491,1.0196,0.9401,0.8906,0.9826,0.9656
1358,616.9,0.9304,0.8922,0.8511,0.9024,1.0346,0.9639,0.8454,0.8414,0.8599,0.8467,0.8621,1.0197,0.8476,0.8284,0.8435,0.8850,0.8918,0.7902,0.8367,0.9194,0.8340,0.9002,0.8661,0.8639
1359,621.0,0.9578,0.9592,0.9984,0.9230,0.9946,1.1253,0.9580,0.9519,0.9173,0.8856,0.9087,0.9972,0.8936,0.9024,0.8734,0.9150,0.9298,0.8593,0.8706,0.9415,0.8722,0.8942,0.8902,0.9191
1360,625.1,1.1069,1.1238,0.9780,0.9653,0.8609,0.8915,0.9318,1.0519,1.1382,1.3089,1.2001,1.0011,1.0005,1.0322,1.0252,1.0695,1.0946,0.9945,0.9921,1.1606,1.3569,1.3789,1.2263,1.0791
1361,629.2,1.1378,1.1297,0.9847,0.9778,1.0121,1.0354,0.9668,0.9929,1.1808,1.3746,1.2095,0.9938,0.9723,0.9952,1.0007,0.9905,1.0553,0.9613,0.9586,1.0560,1.1350,1.5585,1.1894,1.1899
1362,633.3,0.9991,0.9068,0.8300,0.8708,0.9737,0.9618,0.8285,0.8684,0.9207,0.8893,0.8513,1.0039,0.8156,0.8347,0.8044,0.8890,0.8794,0.7625,0.8315,0.9176,0.8328,0.9133,0.8385,0.8829
1363,637.4,0.8865,0.8792,0.8795,0.8945,0.8858,0.9202,0.8525,0.8772,0.8480,0.8213,0.8216,0.9626,1.0051,1.0035,0.8643,0.8831,0.9181,0.8368,0.8193,0.9180,0.8395,0.8120,0.8498,0.8504
1364,641.5,0.8474,0.8870,1.0702,0.9508,0.9740,0.9765,1.0115,0.9410,0.8903,0.9296,0.8653,0.9412,0.8717,0.8755,0.8972,0.8971,0.9062,0.9068,0.9026,0.9030,0.8584,0.8710,0.8415,0.8523
1365,645.7,0.8707,0.9285,1.1547,0.8241,0.7947,0.8073,1.0981,1.0724,0.8664,0.9793,0.9118,0.9378,1.0508,1.0475,1.0146,0.9572,0.9531,1.0566,0.9913,0.9115,0.8523,0.9103,0.8946,0.8812
1366,649.8,1.0009,0.9346,1.0009,0.9300,0.8788,0.8680,0.9827,1.0197,0.9329,1.0155,0.9622,0.9694,1.0117,1.0095,0.9645,0.9504,0.9481,0.8722,0.9598,0.9628,0.9060,1.0105,0.9173,0.9265
1367,653.9,0.9050,0.8795,0.8402,0.9295,0.9576,0.9112,0.8666,0.8935,0.8757,0.8335,0.8800,0.9735,0.9463,0.9120,0.8918,0.8981,0.9057,0.8898,0.9626,0.9011,0.8127,0.8240,0.8331,0.8369
1368,658.0,1.0368,1.0690,1.1822,0.9577,0.8417,0.8423,1.1552,1.0906,1.0061,0.9547,1.0481,1.0248,1.2176,1.2672,1.1070,1.0470,1.0757,1.2371,1.0407,0.9927,0.9495,0.9160,0.9995,1.0338
1369,662.1,1.2477,1.1252,1.0442,0.9798,0.8901,0.9235,1.0417,1.0099,1.2099,1.0971,1.0861,1.0659,0.9758,0.9967,0.9896,1.0444,1.0410,0.9179,1.0497,1.0472,1.0907,1.0733,1.0527,1.2085
1370,666.2,1.0683,1.1287,1.2458,1.3751,1.1272,1.1715,1.3041,1.1352,1.0864,1.1378,1.1511,1.0694,1.0850,1.0951,1.1375,1.0944,1.0653,1.0682,1.1383,1.0696,1.1283,1.1617,1.1493,1.1366
1371,670.3,1.0017,1.0472,1.0325,0.9704,1.0050,0.9874,1.0782,1.1473,1.0880,1.1341,1.2420,0.9426,1.0773,1.0447,1.0073,1.0161,1.0012,0.9572,1.0106,1.0686,1.1781,1.2084,1.1041,0.9715
1372,674.4,0.9402,0.8906,1.1633,1.3428,1.0807,1.1316,1.2000,0.9112,0.9005,0.8511,0.8869,0.8783,0.8044,0.8364,0.9102,0.9122,0.8655,0.9396,0.9170,0.8748,0.8829,0.7967,0.8722,0.9596
1373,678.6,0.8852,0.8670,0.9216,0.9378,0.9218,0.8983,0.8995,0.8061,0.8863,0.8508,0.8367,0.8724,0.8644,0.8219,0.8161,0.8423,0.8594,0.8315,0.7801,0.8580,0.9044,0.8379,0.8519,0.9766
1374,682.7,0.9753,0.9164,0.8535,0.8612,0.9744,0.8847,0.8298,0.8918,0.8890,0.9041,0.9547,0.8558,0.9187,0.8910,0.9831,0.9569,0.9616,0.9691,0.9310,0.9847,1.0635,0.9531,0.9711,0.8954
1375,686.8,0.9077,1.0310,0.8388,1.1124,1.2363,1.2286,0.9292,1.0444,1.1055,0.9842,1.0939,0.8118,1.2321,1.2362,1.3206,1.1562,1.1283,1.5315,1.3597,0.9983,1.0624,0.8815,1.1963,1.2374
1376,690.9,0.7721,0.8678,0.9956,1.1075,1.1092,1.1256,1.0001,0.9548,0.8685,0.8106,0.8555,0.8860,0.9370,0.9505,0.9505,0.9362,0.9517,1.0148,0.9888,0.9115,0.8277,0.7718,0.8748,0.8969
1377,695.0,1.0752,1.0623,1.0137,0.9765,1.0439,1.0447,0.9721,0.9988,0.9648,0.9835,1.0446,1.0147,1.0125,0.9967,1.0320,1.0233,1.0287,0.9625,0.9762,1.0261,1.1250,1.1236,1.0877,1.0979
